area_type,location,bedrm,total_sqft,bath,balcony,price
Super built-up  Area,Bommanahalli,3,1375,3,2,59
Super built-up  Area,Hennur Road,3,1290,2,1,94.5
Super built-up  Area,Hosa Road,3,1318,2,1,85.28
Super built-up  Area,Electronic City,2,1128,2,1,68
Plot  Area,Meenakunte,4,4428,4,2,255
Super built-up  Area,Kanakpura Road,2,1051,2,2,56.74
Plot  Area,Kengeri,3,3500,5,0,275
Plot  Area,Kannamangala,4,2400,4,1,130
Super built-up  Area,Yelahanka,2,1327,2,3,85
Super built-up  Area,Thigalarapalya,4,2912,6,2,210
Super built-up  Area,Basapura,2,1301,2,2,55
Super built-up  Area,Thippasandra,1,650,1,0,30
Plot  Area,Varthur,3,1200,3,1,67.75
Super built-up  Area,Banagiri Nagar,3,1500,2,2,89.99
Plot  Area,Kumara Park,4,2700,6,,675
Plot  Area,Nagadevanahalli,4,1350,4,2,145
Built-up  Area,Electronic City Phase II,2,1000,2,1,28.88
Super built-up  Area,Sarjapur  Road,2,984,2,1,45.91
Super built-up  Area,Jakkur,3,1819.18,3,1,160
Built-up  Area,Nagarbhavi,1,900,1,0,175
Super built-up  Area,Hebbal,3,1355,3,1,83.87
Super built-up  Area,Sarakki Nagar,3,2145,4,1,270
Super built-up  Area,Malleshwaram,3,2475,4,3,300
Super built-up  Area,Kaggadasapura,2,1118,2,0,30
Super built-up  Area,Roopena Agrahara,1,910,1,1,42
Super built-up  Area,Madiwala,3,1250,3,2,39
Super built-up  Area,Hosakerehalli,2,1304,2,3,100
Super built-up  Area,Begur Road,3,1615,3,2,58
Super built-up  Area,Sarjapur  Road,2,1400,2,2,68
Super built-up  Area,CV Raman Nagar,2,1070,2,2,47.5
Super built-up  Area,Hebbal,3,3500,3,3,395
Super built-up  Area,Hoodi,2,1132,2,1,89.37
Super built-up  Area,Rajarajeshwari Nagara,3,2000,3,2,85
Plot  Area,Hebbal,7,2400,5,1,550
Super built-up  Area,Sector 2 HSR Layout,1,794,1,2,65
Super built-up  Area,Raja Rajeshwari Nagar,2,1090,2,2,43.59
Super built-up  Area,Gottigere,3,1500,3,2,70
Super built-up  Area,1st Phase JP Nagar,3,2059,3,2,225
Super built-up  Area,Kanakpura Road,1,525,1,1,30
Super built-up  Area,Bhoganhalli,2,1447,2,1,75.97
Super built-up  Area,Whitefield,2,1269,2,1,75
Plot  Area,KR Layout,4,4800,4,0,700
Super built-up  Area,Kanakpura Road,2,1070,2,2,37.45
Super built-up  Area,Talaghattapura,2,1150,2,0,28
Super built-up  Area,Marathahalli,2,1208,2,2,70
Super built-up  Area,Ramamurthy Nagar,2,1185,2,1,45.5
Plot  Area,Laggere,3,1200,3,1,130
Super built-up  Area,Anekal,2,888,2,1,34
Super built-up  Area,Chandapura,2,1015,2,2,25.88
Built-up  Area,Celebrity Paradise Layout,1,532,1,1,22.49
Super built-up  Area,St Thomas Town,3,1060,3,1,62
Built-up  Area,Electronic City,1,700,1,1,35
Super built-up  Area,Ckikkakammana Halli,2,902,2,2,42
Plot  Area,Banashankari 2nd Stage,6,600,3,3,95
Super built-up  Area,Uttarahalli,2,1175,2,1,47
Super built-up  Area,Binny Pete,2,1365,2,1,122
Super built-up  Area,Doddathoguru,2,984,2,1,51
Plot  Area,Hebbal,4,2700,2,2,100
Super built-up  Area,Jalahalli East,3,1475,3,2,96
Super built-up  Area,Haralur Road,2,1300,2,2,79
Plot  Area,5th Block Hbr Layout,5,1200,6,1,220
Built-up  Area,Babusapalaya,3,1453,2,2,43.59
Super built-up  Area,Munivenkatppa Layout,2,1550,2,3,160
Built-up  Area,Akshaya Nagar,3,1666,3,,95
Plot  Area,Akshaya Nagar,4,1410,4,2,160
Plot  Area,Yelahanka,4,4025,5,3,800
Super built-up  Area,Murugeshpalya,3,1845,3,3,91
Super built-up  Area,Sarjapura - Attibele Road,3,1676,3,3,52
Super built-up  Area,Uttarahalli,2,1137,2,1,63
Super built-up  Area,Electronic City,3,1360,2,1,70.5
Super built-up  Area,Vijaya Bank Layout,3,1374,2,2,70
Built-up  Area,Judicial Layout,3,1700,3,2,155
Plot  Area,Whitefield,5,3227,5,0,250
Super built-up  Area,Ferrar Nagar,4,2145,4,,125
Plot  Area,Koramangala,4,2400,6,3,600
Super built-up  Area,Kasavanhalli,3,2170,3,2,151
Built-up  Area,Bank Of Baroda Colony,2,1080,2,1,55
Built-up  Area,Electronic City Phase II,3,1790,3,3,100
Super built-up  Area,Doddathoguru,1,550,1,1,17
Super built-up  Area,Poorna Pragna Layout,3,1270,2,2,50.79
Built-up  Area,Somasundara Palya,2,1033,2,2,48
Built-up  Area,Kamala Nagar,2,1000,2,1,80
Super built-up  Area,Binny Pete,4,2940,6,2,280
Super built-up  Area,Kumarapalli,2,1240,2,2,52.6
Plot  Area,Kasturi Nagar,5,1650,5,1,450
Super built-up  Area,Kambipura,2,883,2,1,39
Built-up  Area,Outer Ring Road East,3,1500,2,0,97
Super built-up  Area,Marathahalli,3,1730,3,3,139
Super built-up  Area,Kasavanhalli,3,1915,3,3,80
Super built-up  Area,Whitefield,3,1545,3,2,79
Super built-up  Area,Marenahalli,3,1865,4,2,140
Super built-up  Area,Hebbal Kempapura,2,1150,2,2,40
Super built-up  Area,HAL 3rd Stage,2,1200,2,2,49
Built-up  Area,Kengeri,2,963,2,2,40
Plot  Area,Marsur,3,1200,3,1,120
Super built-up  Area,Basavangudi,4,2600,4,3,260
Built-up  Area,Kaikondrahalli,4,1700,4,,108
Super built-up  Area,Lingadheeranahalli,3,1682,3,1,120
Built-up  Area,Yelahanka,3,1371,2,2,65
Super built-up  Area,Hennur Road,2,901,2,1,49.5
Plot  Area,Vishwapriya Layout,7,600,7,0,73
Super built-up  Area,Ambalipura,3,1730,3,1,120
Plot  Area,Konanakunte,4,1200,4,0,125
Super built-up  Area,EPIP Zone,3,1500,3,3,102
Super built-up  Area,Sarjapur  Road,4,3785,6,,280
Built-up  Area,Nagawara Junction,4,3500,4,2,245
Carpet  Area,Lingarajapuram,2,1203,2,1,59.86
Super built-up  Area,Horamavu Banaswadi,2,1357,2,2,54
Super built-up  Area,Vasantha Vallabha Nagar,3,1600,3,2,76
Built-up  Area,Yelahanka New Town,1,350,1,1,13.5
Super built-up  Area,Varthur,3,1665,3,1,53
Plot  Area,Ramamurthy Nagar,3,1400,3,3,200
Super built-up  Area,Sarjapur  Road,1,835,1,1,46.95
Plot  Area,Chandra Layout,2,815,3,2,160
Super built-up  Area,Haralur Road,3,1444,2,1,80
Super built-up  Area,Kanakapura,2,1277,2,2,55
Super built-up  Area,Lingadheeranahalli,3,1521,3,1,94.71
Super built-up  Area,Maithri Layout,2,1134,2,1,40
Super built-up  Area,Vasanthapura,2,995,2,1,34.82
Super built-up  Area,Old Madras Road,3,2760,5,2,157
Built-up  Area,Marathahalli,2,1325,1,1,92
Built-up  Area,Kothanur,6,4000,6,,150
Built-up  Area,Marathahalli,3,1525,3,2,90
Super built-up  Area,Raja Rajeshwari Nagar 5th Stage,3,1320,2,2,73
Super built-up  Area,Electronics City Phase 1,1,650,1,1,23
Built-up  Area,Old Airport Road,3,1858,2,1,167
Super built-up  Area,Electronic City,2,1150,2,1,38
Super built-up  Area,Electronic City Phase II,2,769,2,1,40
Super built-up  Area,Electronic City,3,1571,3,2,105
Super built-up  Area,Hennur Road,3,1445,3,1,86.56
Super built-up  Area,Hosur Road,3,1590,2,2,135
Super built-up  Area,Bommasandra,2,902,2,2,49
Plot  Area,Sarjapur,3,2238,3,1,140
Built-up  Area,Electronic City,2,1090,2,1,31.49
Built-up  Area,Yelahanka,3,1712,3,3,82
Built-up  Area,Haralur Road,2,1088,2,1,68
Super built-up  Area,Somasundara Palya,3,1575,3,3,63.1
Plot  Area,Nanjappa Garden,6,2150,6,3,205
Super built-up  Area,Kundalahalli,3,1920,3,2,150
Plot  Area,Margondanahalli,2,1000,2,0,57
Super built-up  Area,Chennammana Kere,2,1100,2,2,56.1
Super built-up  Area,Electronic City,2,1089,2,2,45
Built-up  Area,Horamavu Agara,2,1106,2,1,43.09
Super built-up  Area,Kengeri,2,927,2,2,37
Super built-up  Area,Kanakpura Road,2,1339,2,2,58
Built-up  Area,Thanisandra,1,923,1,1,45.69
Plot  Area,Sarjapur  Road,3,2900,3,2,285
Super built-up  Area,Lakshminarayana Pura,2,1175,2,2,75
Built-up  Area,Thubarahalli,2,975,2,1,55
Super built-up  Area,Hebbal,3,2400,4,1,180
Super built-up  Area,Subramanyapura,3,1330,3,2,72
Super built-up  Area,Thanisandra,2,1183,2,1,59.74
Super built-up  Area,Harlur,3,1758,3,2,133
Plot  Area,Nagarbhavi,3,1200,3,2,265
Super built-up  Area,Hebbal,3,1255,2,1,77.68
Plot  Area,Nagadevanahalli,3,600,4,2,110
Built-up  Area,Pai Layout,2,1100,2,2,50
Super built-up  Area,Ramamurthy Nagar,2,1170,2,2,46.8
Built-up  Area,Vayunandana Layout,5,2400,5,2,120
Super built-up  Area,Raja Rajeshwari Nagar,3,1530,3,3,51.77
Built-up  Area,Hebbal,2,1420,2,2,107
Plot  Area,Geetanjali Layout,4,1200,4,2,300
Plot  Area,7th Phase JP Nagar,6,1045,6,3,160
Super built-up  Area,Kanakpura Road,3,1591,3,1,115
Super built-up  Area,7th Phase JP Nagar,3,1680,3,2,120
Plot  Area,Kenchenhalli,2,675,3,1,52
Super built-up  Area,Hoodi,2,1055,2,1,57.63
Super built-up  Area,Iblur Village,3,1918,3,2,129
Super built-up  Area,Sarjapur  Road,2,1280,2,1,76
Super built-up  Area,Nagarbhavi,3,1560,3,3,66
Super built-up  Area,Sarjapur  Road,2,1145,2,2,49.5
Super built-up  Area,Talaghattapura,3,2106,3,2,126
Super built-up  Area,"EPIP AREA, WHITEFIELD",3,1801,3,2,139
Plot  Area,Seegehalli,5,1200,5,3,120
Super built-up  Area,Rajaji Nagar,2,1718,3,2,288
Super built-up  Area,Whitefield,3,1306,3,2,54.65
Super built-up  Area,Hebbal,2,1320,2,1,92
Built-up  Area,1st Stage Domlur,3,1350,2,2,65
Built-up  Area,"RMV extension stage 2, rmv extension",4,2990,4,,324
Built-up  Area,Kalyan nagar,4,3800,5,3,300
Super built-up  Area,Bannerghatta Road,3,1344,2,1,42
Super built-up  Area,Bannerghatta Road,3,1893,3,2,100
Super built-up  Area,Chandapura,3,1107,2,1,43
Plot  Area,R.T. Nagar,9,1200,10,,180
Super built-up  Area,Lakshminarayana Pura,2,1190,2,1,75
Built-up  Area,Whitefield,2,1000,2,1,35
Plot  Area,Kalhalli,2,2400,2,1,160
Super built-up  Area,Kumaraswami Layout,2,1000,2,1,48.5
Super built-up  Area,Jalahalli,3,2113,3,2,155
Built-up  Area,KR Puram,2,1100,2,1,46
Plot  Area,Sector 2 HSR Layout,5,1200,4,1,160
Super built-up  Area,Harlur,4,1884,4,2,120
Super built-up  Area,Electronic City,2,1110,2,1,40
Super built-up  Area,Kudlu,2,1027,2,2,43
Super built-up  Area,Tavarekere,3,1250,3,2,40
Built-up  Area,Sarjapur  Road,3,1470,3,0,62
Built-up  Area,Kamakshipalya,2,1150,2,1,75
Plot  Area,Hadosiddapura,3,1200,3,2,165
Super built-up  Area,Kudlu Gate,1,703,1,1,52
Super built-up  Area,Vijaya Bank Colony,3,1400,2,2,62
Super built-up  Area,Bellandur,2,1195,2,2,51
Super built-up  Area,Narayanapura,2,1302,2,1,69.1
Super built-up  Area,Begur Road,3,1583,3,1,74.4
Super built-up  Area,Kumarapalli,3,1488,2,3,60
Plot  Area,Lakshmi Layout,4,600,5,2,85
Super built-up  Area,Kammasandra,3,1385,2,2,34.63
Super built-up  Area,Whitefield,4,3262,4,2,260
Built-up  Area,Electronic City,3,1600,3,2,104
Super built-up  Area,Old Airport Road,2,1150,2,1,90
Plot  Area,Lakkasandra,9,4500,9,,166
Super built-up  Area,Sarjapur  Road,2,1263,2,1,78
Plot  Area,KR Puram,7,1200,8,2,110
Super built-up  Area,Kanakpura Road,2,1299,2,2,85
Super built-up  Area,Banashankari,2,1330,2,1,78
Super built-up  Area,Devanahalli,3,1282,2,2,52.43
Built-up  Area,"JP Nagar 8th Phase, ",3,1853,3,2,82
Super built-up  Area,Kachanayakanahalli,2,861,2,1,35
Built-up  Area,Bannerghatta Road,3,1600,3,2,95
Built-up  Area,Nagaraja Garden,2,1256,2,1,62.8
Super built-up  Area,Tejaswini Nagar,3,1390,2,2,80
Super built-up  Area,Ashwath Nagar,3,1550,2,,90
Plot  Area,1 Annasandrapalya,11,1200,6,3,150
Built-up  Area,Hebbal,2,919,2,1,49
Plot  Area,Margondanahalli,3,1625,3,0,80
Super built-up  Area,Gunjur,2,1195,2,2,44
Super built-up  Area,Domlur,6,2400,4,1,600
Super built-up  Area,Yelenahalli,2,1159,2,1,60
Super built-up  Area,Whitefield,3,1386,3,1,57.46
Super built-up  Area,Harlur,2,1197,2,1,79
Super built-up  Area,Old Airport Road,4,2690,4,3,191
Super built-up  Area,Jigani,4,3293,,,226
Super built-up  Area,Bommasandra,3,1295,2,1,50.28
Built-up  Area,Huskur,3,1310,2,1,37.83
Super built-up  Area,Whitefield,2,1132,2,1,79.28
Built-up  Area,6th block Koramangala,3,2350,3,2,400
Plot  Area,4th Block Koramangala,4,2400,4,,500
Super built-up  Area,Hebbal,3,1645,3,2,135
Super built-up  Area,Whitefield,2,1200,2,1,45.84
Plot  Area,Whitefield,4,3000,4,0,330
Super built-up  Area,Marathahalli,3,1937,3,2,140
Super built-up  Area,Doddathoguru,2,1015,2,2,33.5
Super built-up  Area,Nagadevanahalli,2,1080,2,2,39
Super built-up  Area,Kathriguppe,3,1350,2,2,80.99
Super built-up  Area,Kengeri Satellite Town,3,1149,2,2,29
Super built-up  Area,Kothanur,2,1185,2,2,59
Super built-up  Area,Domlur,3,1720,3,1,135
Super built-up  Area,Hebbal,3,2080,3,3,175
Plot  Area,Tindlu,3,1500,3,1,87
Super built-up  Area,Yelahanka,3,1566,3,2,97
Super built-up  Area,Rajaji Nagar,3,2386,3,,334
Plot  Area,KSRTC Layout,4,1500,4,0,110
Super built-up  Area,KR Puram,2,1290,2,1,49.02
Built-up  Area,"JP nagar 9th Phase, ",3,1531,3,2,72
Super built-up  Area,Keshava Nagar,3,1839,3,3,165
Plot  Area,Dollars Layout,4,4200,4,1,760
Super built-up  Area,Electronic City Phase II,3,1400,2,2,40.43
Super built-up  Area,Electronic City,2,550,1,1,15
Super built-up  Area,Whitefield,2,1140,2,2,39
Super built-up  Area,Tumkur Road,3,1210,3,0,57.76
Built-up  Area,Banashankari Stage III,4,2000,4,0,100
Built-up  Area,Kaval Byrasandra,2,1100,2,1,46
Built-up  Area,Vignana Nagar,2,1200,2,2,55
Super built-up  Area,Bannerghatta,3,1618,3,1,68
Super built-up  Area,Whitefield,4,2830,5,2,160
Super built-up  Area,Uttarahalli,3,1315,2,2,74
Super built-up  Area,Anandapura,2,1141,2,1,42.75
Super built-up  Area,AECS Layout,2,1080,2,2,55
Super built-up  Area,HBR Layout,2,1200,2,2,60
Super built-up  Area,Varthur,2,1111,2,2,41.88
Super built-up  Area,NGR Layout,2,1022,2,1,45.9
Super built-up  Area,Bannerghatta Road,2,1275,2,2,65
Super built-up  Area,4th Block Jayanagar,2,900,2,1,70
Super built-up  Area,Rachenahalli,2,1224,2,3,39.2
Super built-up  Area,Battarahalli,2,1135,2,3,43
Super built-up  Area,Rachenahalli,2,1050,2,2,52.1
Super built-up  Area,Kudlu Gate,3,1535,3,2,86
Super built-up  Area,Nagavarapalya,2,1392,2,1,130
Super built-up  Area,Bellandur,2,1050,2,2,72
Super built-up  Area,Hosa Road,3,1513,3,1,103
Super built-up  Area,Gottigere,3,1621,3,3,72
Super built-up  Area,Bannerghatta Road,2,892,2,1,39
Super built-up  Area,Whitefield,2,1205,2,1,40
Super built-up  Area,Hebbal,3,1355,3,2,83.87
Plot  Area,2nd Block Hrbr Layout,5,1250,5,,300
Plot  Area,Kuvempu Nagar,7,1650,9,,345
Super built-up  Area,Karnataka Shabarimala,4,1200,6,3,70
Super built-up  Area,Indira Nagar,2,1400,2,2,168
Super built-up  Area,Kengeri,2,726,2,1,35
Plot  Area,Singena Agrahara,3,1500,3,2,149
Super built-up  Area,Hebbal,4,3895,4,2,405
Super built-up  Area,Horamavu Agara,2,1079,2,2,41
Super built-up  Area,Begur Road,2,1170,2,2,46
Super built-up  Area,Doddathoguru,2,1104,2,2,39
Super built-up  Area,Kanakpura Road,2,950,2,1,45
Built-up  Area,Hormavu,4,4818,4,3,390
Built-up  Area,Canara Bank Colony,3,1650,2,1,52
Super built-up  Area,Kogilu,3,1559,3,2,127
Built-up  Area,Hanumagiri,2,1100,2,1,38
Super built-up  Area,Benson Town,3,1750,3,3,150
Super built-up  Area,Ramagondanahalli,2,1215,2,1,45.5
Super built-up  Area,Talaghattapura,3,1868,3,1,135
Built-up  Area,Electronic City,2,1130,2,1,32.63
Super built-up  Area,Kanakpura Road,3,1570,3,3,64.5
Super built-up  Area,Sarjapur  Road,3,1691,3,1,98
Built-up  Area,Ardendale,5,4355,3,1,350
Super built-up  Area,Hulimavu,2,1225,2,2,55
Super built-up  Area,JP Nagar,3,1690,3,2,112
Super built-up  Area,Thigalarapalya,2,1418,2,2,103
Super built-up  Area,Kasturi Nagar,4,1896,3,1,125
Super built-up  Area,Sonnenahalli,1,605,1,1,40
Plot  Area,Begur Road,5,800,5,2,95
Super built-up  Area,Electronic City Phase II,2,900,2,2,32.5
Plot  Area,Cholanayakanahalli,1,750,2,0,50
Plot  Area,Hoodi,3,780,3,1,62
Super built-up  Area,Ananth Nagar,2,908,2,1,26
Built-up  Area,Sarjapur  Road,4,3369,6,0,143
Super built-up  Area,Thanisandra,4,3216,4,1,226
Plot  Area,BEML Layout,5,2400,4,1,225
Built-up  Area,Iblur Village,2,1400,2,2,68
Super built-up  Area,Kudlu,2,1092,2,2,44
Super built-up  Area,Hulimavu,2,1255,2,2,74
Built-up  Area,Electronic City,3,1500,2,1,100
Super built-up  Area,Thanisandra,2,1296,2,2,72
Super built-up  Area,Horamavu Banaswadi,2,925,2,3,38
Built-up  Area,Raja Rajeshwari Nagar,2,1023,2,2,42
Built-up  Area,Seshadripuram,2,600,3,2,75
Super built-up  Area,Thanisandra,2,1020,2,1,44.5
Super built-up  Area,Choodasandra,3,1530,3,2,77
Super built-up  Area,Gubbalala,3,1650,3,2,71
Built-up  Area,Vijaya Bank Layout,3,1605,2,3,85
Super built-up  Area,Hosakerehalli,2,1925,2,1,50
Super built-up  Area,Kogilu,2,1190,2,2,50.66
Super built-up  Area,Jakkur,3,1374,3,2,68
Built-up  Area,6th Phase JP Nagar,2,1140,2,2,65
Super built-up  Area,Green Glen Layout,3,1725,3,2,130
Super built-up  Area,Bisuvanahalli,3,1075,2,1,50
Super built-up  Area,Kannamangala,3,1574,3,1,93.34
Built-up  Area,Sanjay nagar,1,965,1,1,32
Super built-up  Area,Marathahalli,3,1550,3,2,83
Super built-up  Area,Akshayanagara West,2,1205,2,2,60
Super built-up  Area,Kambipura,3,1082,2,1,55
Super built-up  Area,Uttarahalli,3,1215,2,2,52.85
Super built-up  Area,Hebbal,4,2483,5,2,230
Plot  Area,Prasanth Extension,2,1200,3,1,46.14
Super built-up  Area,Chikkathoguru,1,1500,1,1,19.5
Plot  Area,1st Block Koramangala,4,2360,4,2,600
Super built-up  Area,Ardendale,4,3198,4,,250
Super built-up  Area,Kanakpura Road,3,1452,3,3,60.98
Super built-up  Area,Electronic City Phase II,3,1329,2,2,41
Super built-up  Area,Doctors Layout,2,1125,2,1,44
Plot  Area,Anand nagar,2,1200,2,0,70
Built-up  Area,Sarjapur  Road,3,1350,3,3,39.97
Super built-up  Area,Uttarahalli,3,1125,3,0,51.19
Super built-up  Area,Hebbal,3,2600,3,2,195
Plot  Area,West of Chord Road,2,1200,2,1,160
Built-up  Area,Electronic City Phase II,3,1220,3,1,35.23
Super built-up  Area,Pai Layout,2,1255,2,1,80
Super built-up  Area,Keshava Nagar,3,1904,3,3,155
Super built-up  Area,Somasundara Palya,2,1329,2,2,70
Plot  Area,Chandapura,2,1200,2,1,60
Super built-up  Area,Murugeshpalya,3,2135,3,2,160
Super built-up  Area,Ramakrishnappa Layout,3,2770,4,3,315
Built-up  Area,"Hoodi Circle, ",1,813,1,1,39
Plot  Area,Junnasandra,4,3884,4,3,240
Plot  Area,Doddaballapur,3,3876,3,1,300
Super built-up  Area,Kalena Agrahara,2,800,2,2,30
Plot  Area,Handenahalli,4,4750,2,1,120
Super built-up  Area,Hormavu,3,1500,3,3,70
Super built-up  Area,Bannerghatta Road,3,1880,3,2,95
Super built-up  Area,Electronic City,3,1440,2,2,55
Super built-up  Area,Akshaya Nagar,3,1575,3,,90
Super built-up  Area,Banagiri Nagar,3,1630,2,2,97.78
Super built-up  Area,Yelahanka,3,1180,3,1,55
Built-up  Area,Nagadevanahalli,2,1090,2,1,36
Super built-up  Area,NGR Layout,2,1020,2,2,48.45
Built-up  Area,"Sarjapur Road, ",4,2425,4,3,173
Super built-up  Area,Varthur,2,1097,2,1,33.82
Super built-up  Area,Raja Rajeshwari Nagar,2,1070,2,1,50
Super built-up  Area,Kumaraswami Layout,2,1000,2,1,58
Plot  Area,Hoodi,8,1120,8,,150
Super built-up  Area,manyata tech park,2,1150,2,1,56
Built-up  Area,Frazer Town,3,1900,4,2,145
Super built-up  Area,Divya Unnathi Layout,2,1141,2,2,49
Built-up  Area,Jigani,2,937,2,1,44
Built-up  Area,Green Glen Layout,2,1075,2,1,60
Super built-up  Area,Panathur,2,1000,2,1,65.3
Super built-up  Area,Kasavanhalli,3,1450,3,,77.41
Plot  Area,Yelachenahalli,5,897,2,1,85
Super built-up  Area,Ashwathnagar,2,936,2,2,43
Built-up  Area,Gopalkrishna Nagar,2,1280,2,1,75
Super built-up  Area,Babusapalaya,2,1050,2,3,45
Super built-up  Area,Marathahalli,2,1350,2,1,86
Super built-up  Area,Mallasandra,2,1325,2,1,70
Super built-up  Area,Devanahalli,2,1174,2,1,59
Super built-up  Area,Hosur Road,3,1890,3,2,162
Super built-up  Area,Wilson Garden,1,735,1,1,75
Built-up  Area,Sarvabhouma Nagar,1,500,1,0,24
Super built-up  Area,Gottigere,3,1304,3,3,80
Built-up  Area,Yelahanka,3,1653,3,2,120
Super built-up  Area,Bisuvanahalli,3,1075,2,1,52
Super built-up  Area,7th Phase JP Nagar,2,1212,3,1,42
Built-up  Area,Hoysalanagar,2,1100,2,1,50
Super built-up  Area,Rajaji Nagar,4,3436,6,3,500
Plot  Area,SMV layout,3,1200,4,0,145
Super built-up  Area,Billekahalli,2,1140,2,2,50
Plot  Area,Roopena Agrahara,2,1200,2,1,100
Super built-up  Area,Kudlu Gate,3,1532,3,2,83
Plot  Area,Doddaballapur,3,2776,4,2,195
Super built-up  Area,Padmanabhanagar,3,1531,2,0,75
Super built-up  Area,Poorna Pragna Layout,3,1270,2,2,50.79
Super built-up  Area,Uttarahalli,2,1325,2,1,53
Plot  Area,CQAL LAYOUT C BLOCK,3,1200,3,1,160
Super built-up  Area,Electronic City,3,1156,2,2,44
Plot  Area,R.T. Nagar,4,2000,4,2,320
Super built-up  Area,Bannerghatta Road,2,1260,2,2,70
Super built-up  Area,Vittasandra,2,1934,2,0,90
Super built-up  Area,Malleshpalya,2,1060,2,1,40
Super built-up  Area,Kasavanhalli,3,1476,3,1,95
Super built-up  Area,Murugeshpalya,2,1185,2,1,85
Super built-up  Area,Channasandra Layout,3,1265,2,1,82
Built-up  Area,"Near Electronic City, ",4,3200,5,1,150
Super built-up  Area,Virat Nagar,2,1196,2,2,56.81
Built-up  Area,EPIP Zone,2,1280,2,1,69
Plot  Area,Marathahalli,4,800,4,2,86
Built-up  Area,Hulimavu,2,1175,2,,45
Built-up  Area,Kacharakanahalli,3,1850,3,3,98
Plot  Area,Indira Nagar,4,2400,4,2,525
Super built-up  Area,Whitefield,2,1195,2,1,70
Super built-up  Area,Ulsoor,3,2000,3,3,185
Carpet  Area,Veerannapalya,7,600,4,0,100
Plot  Area,Hebbal Kempapura,4,800,5,3,155
Super built-up  Area,Hosur Road,2,1180,2,2,36.5
Super built-up  Area,Jakkur,2,1050,2,1,49.87
Built-up  Area,Electronic City,3,1400,2,1,40.44
Plot  Area,Bagalakunte,4,2360,4,2,150
Super built-up  Area,Banashankari stage 2,2,1030,2,1,77.25
Super built-up  Area,Doddanakundi Industrial Area 2,2,1512,1,2,65.01
Built-up  Area,Subramanyapura,2,929,2,1,48
Super built-up  Area,Jigani,3,1252,3,3,61
Built-up  Area,Green Glen Layout,3,1485,3,2,115
Super built-up  Area,Electronics City Phase 1,3,1124,2,2,55
Plot  Area,TC Palaya,6,2400,6,3,370
Built-up  Area,Indira Nagar,3,1407,3,1,120
Super built-up  Area,Hennur Road,3,1482,2,3,97
Super built-up  Area,Sector 7 HSR Layout,2,1163,2,1,98.86
Super built-up  Area,Jalahalli,3,1570,3,2,140
Super built-up  Area,Whitefield,3,3480,4,,284
Super built-up  Area,Chandapura,1,520,1,1,14.04
Super built-up  Area,OLd Gurappanapalya,3,2000,3,2,160
Super built-up  Area,Prithvi Layout,2,1352,2,2,75
Super built-up  Area,Electronic City,2,1152,2,1,65
Built-up  Area,"ECC Road, Whitefield, ",3,1575,3,2,93
Super built-up  Area,Hegde Nagar,3,1965,4,2,125
Built-up  Area,Ramanjaneyanagar,3,1300,2,2,70
Plot  Area,Sarjapur  Road,4,1,4,,120
Super built-up  Area,Marathahalli,2,957,2,1,47
Super built-up  Area,Hoskote,3,1740,3,3,60
Plot  Area,Kanakpura Road,5,1080,6,3,65
Super built-up  Area,Neeladri Nagar,2,1060,2,0,35
Carpet  Area,Chikkadunnasandra,2,975,2,2,50
Super built-up  Area,Ramamurthy Nagar,2,1150,2,2,51
Super built-up  Area,Whitefield,3,1738,2,3,79
Super built-up  Area,Bommanahalli,3,1250,3,2,55
Built-up  Area,Bannerghatta Road,3,1788,3,2,90
Super built-up  Area,Kanakapura,2,1151,2,1,59
Super built-up  Area,Uttarahalli,3,1300,2,2,60
Super built-up  Area,Garudachar Palya,2,1150,2,1,52.8
Super built-up  Area,Akshya Nagar,2,1380,2,1,75
Super built-up  Area,Hebbal,3,1645,3,2,117
Super built-up  Area,Babusapalaya,2,1141,2,1,45.9
Super built-up  Area,7th Phase JP Nagar,2,1175,2,2,82.5
Super built-up  Area,Banashankari Stage V,3,1355,2,1,61
Built-up  Area,Dasarahalli,2,1150,2,0,70
Super built-up  Area,Indranagar  100ft road defence colony,5,5800,5,,80
Built-up  Area,Canara Bank Colony,2,1000,2,2,45
Super built-up  Area,Balagere,2,1007,2,1,65
Super built-up  Area,Wajid layout thanisandra,4,3000,5,2,100
Super built-up  Area,Kothanur,3,1436,3,3,70
Super built-up  Area,Marathahalli,4,4000,4,3,220
Built-up  Area,Somasundara Palya,3,2372,3,,140
Plot  Area,R.T. Nagar,6,1500,6,,240
Super built-up  Area,BTM Layout,3,167,3,2,10
Plot  Area,Rajaji Nagar,2,1200,2,0,150
Super built-up  Area,Rayasandra,2,1016,2,1,58
Super built-up  Area,Dodda Nekkundi,2,1100,2,2,48
Super built-up  Area,B Channasandra,2,1080,2,1,45
Super built-up  Area,Electronic City,2,1070,2,1,60
Super built-up  Area,Kadubeesanahalli,3,1532,3,1,115
Super built-up  Area,Hennur,2,1040,2,2,42.12
Plot  Area,Laxmi Sagar Layout,3,3100,3,3,250
Super built-up  Area,Tumkur Road,2,1076,2,0,48.905
Super built-up  Area,Thanisandra,3,1430,2,2,51.6
Plot  Area,Rajaji Nagar,2,1160,1,0,163
Super built-up  Area,ITPL,4,3262,5,2,205
Plot  Area,Achins Road,7,2100,7,0,410
Built-up  Area,Uvce Layout,2,1190,2,2,100
